,,,,,,,,,,,,,,
,,Pearson's,0.2185,0.1498,-0.0622,-0.0622,0.1498,0.2692,0.1653,0.2439,0.1728,0.2527,0.0423,0.0062
,,Kendall's,0.2014,0.1473,-0.0641,-0.0641,0.1473,0.211,0.1415,0.1971,0.1519,0.1903,0.0769,0.0272
QID,ap@100,ap@1000,MaxIDF,AvgIDF,AvQC,AVQCG,SumSCQ,MaxSCQ,AvgSCQ,SumVAR,AvgVAR,MaxVAR,AvP,AvNP
38,0.0563,0.0746,3.46544,3.35305,0.9898,0.29694,107.58027,55.9595,53.79014,5.40115,2.70057,3.18021,0.6,0.6
39,0.0296,0.0353,6.83694,4.84626,0.93755,0.28127,134.31549,84.83137,67.15775,8.61355,4.30677,5.50724,1,1
40,0.119,0.119,15.23821,15.23821,0.4,0.12,42.97178,42.97178,42.97178,0,0,0,1,1
41,0.117,0.1584,3.67014,2.72895,0.72082,0.21624,182.17897,56.00861,45.54474,8.29939,2.07485,2.60464,0.11111,0.13333
42,0.0015,0.0167,2.54473,2.33777,0.93633,0.2809,82.25143,43.32553,41.12571,3.90806,1.95403,2.01833,0.15789,0.17647
43,0.4198,0.4415,3.29203,3.12611,0.6449,0.19347,100.23875,51.49177,50.11937,4.18528,2.09264,2.2704,0.15789,0.42857
44,0.0522,0.0533,1.55949,1.37564,0.65551,0.19665,86.13266,31.08534,28.71089,3.9153,1.3051,1.42773,0.38462,0.83333
45,0.0584,0.066,4.27941,3.85116,0.87714,0.26314,118.11951,64.37591,59.05975,5.8149,2.90745,3.46444,1,1
46,0.645,0.6606,10.48956,5.64107,0.82449,0.24735,194.03165,91.17788,64.67722,13.29491,4.43164,8.74774,0.75,0.75
47,0.1433,0.1536,6.71461,4.4385,0.68531,0.20559,121.68695,83.46878,60.84347,6.6512,3.3256,5.12254,1,1
48,0.1989,0.2018,5.55466,4.80579,0.94735,0.2842,136.23052,76.04029,68.11526,6.92756,3.46378,4.46065,0.14286,0.14286
49,0.3522,0.3566,4.7466,3.06448,0.60531,0.18159,95.13016,66.50793,47.56508,3.92798,1.96399,2.67439,0.4,1
50,0.0118,0.0154,3.519,3.49222,1,0.3,110.84202,55.9595,55.42101,5.61135,2.80568,3.18021,0.10526,0.14286
51,0.2336,0.2503,7.98151,5.85164,0.62041,0.18612,142.50799,84.02933,71.25399,6.59134,3.29567,3.40407,0.28571,0.33333
52,0.0629,0.0932,8.23398,8.23398,0.16571,0.04971,90.46275,90.46275,90.46275,6.50644,6.50644,6.50644,1,1
53,0,0.0022,3.63134,2.89403,0.86122,0.25837,141.52799,55.59701,47.176,5.98425,1.99475,2.2347,0.14286,0.1875
54,0.2474,0.3411,2.51496,1.75913,0.68762,0.20629,101.29123,43.34224,33.76374,4.78839,1.59613,2.04344,0.45455,0.5
55,0.2144,0.2303,3.72396,3.72396,0.72571,0.21771,56.84316,56.84316,56.84316,2.3659,2.3659,2.3659,0.16667,0.25
56,0.062,0.0723,7.39504,5.56987,0.88714,0.26614,297.2026,84.63804,74.30065,16.65156,4.16289,5.49726,0.4,0.44444
57,0.1233,0.1365,4.0567,3.02373,0.83347,0.25004,97.31855,60.99604,48.65927,4.44091,2.22046,2.85531,0.66667,0.66667
58,0.1371,0.1651,5.12739,5.12739,0.95347,0.28604,70.93615,70.93615,70.93615,3.40336,3.40336,3.40336,1,1
59,0.0355,0.0372,4.83464,3.36609,0.88898,0.26669,103.50946,68.65942,51.75473,4.80677,2.40339,3.40593,0.17857,0.38462
60,0.1641,0.2122,6.19221,6.19221,0.5151,0.15453,78.49285,78.49285,78.49285,3.92759,3.92759,3.92759,1,1
61,0.0129,0.0312,5.32915,5.32915,0.74776,0.22433,72.71625,72.71625,72.71625,3.6467,3.6467,3.6467,0.2,0.25
62,0.6913,0.7019,4.98518,3.44382,0.65143,0.19543,161.35162,69.53447,53.78387,8.18301,2.72767,3.27861,0.2,0.33333
63,0.0658,0.1167,5.5622,5.5622,0.3951,0.11853,73.31886,73.31886,73.31886,3.10217,3.10217,3.10217,1,1
64,0.1522,0.1787,6.33798,6.33798,0.51265,0.1538,80.61779,80.61779,80.61779,4.54494,4.54494,4.54494,1,1
65,0.1858,0.2235,4.2137,2.87011,0.97837,0.29351,93.61239,63.4481,46.80619,4.56868,2.28434,3.35711,0.22222,0.25
66,0.0393,0.0419,3.40401,1.94868,0.69878,0.20963,141.63498,53.95672,35.40875,5.67965,1.41991,2.48508,0.10526,0.25
67,0.1983,0.2328,10.20964,6.08926,0.40286,0.12086,127.2867,91.48687,63.64335,9.56106,4.78053,8.0941,1,1
68,0.0617,0.0771,6.33413,6.33413,0.36653,0.10996,79.98153,79.98153,79.98153,4.28895,4.28895,4.28895,0.5,0.5
69,0.174,0.1774,5.54743,4.18978,0.52653,0.15796,121.14004,75.07166,60.57002,5.79166,2.89583,4.1225,0.66667,0.66667
70,0,0,1.73434,1.73434,0.88571,0.26571,32.46431,32.46431,32.46431,1.15996,1.15996,1.15996,0.21277,0.625
71,0.0099,0.0171,3.0292,2.26861,0.71592,0.21478,79.7367,49.85349,39.86835,3.64002,1.82001,2.48269,0.16667,0.375
72,0.0009,0.0032,3.00826,3.00826,0.9502,0.28506,48.75711,48.75711,48.75711,2.05712,2.05712,2.05712,0.25,0.33333
73,0.2763,0.2908,4.86186,3.75383,0.58122,0.17437,111.24265,67.34046,55.62132,4.24387,2.12193,2.62242,0.13333,0.2
74,0,0.0051,6.60301,6.60301,0.49388,0.14816,80.21194,80.21194,80.21194,3.72061,3.72061,3.72061,0.25,0.25
75,0.3761,0.43,5.88582,5.88582,1,0.3,78.1367,78.1367,78.1367,4.22618,4.22618,4.22618,1,1
76,0.3188,0.3351,2.9602,2.95965,0.53755,0.16127,95.88282,48.74698,47.94141,3.73878,1.86939,2.2704,0.5,1
77,0.1239,0.143,6.844,6.844,0.3249,0.09747,82.7117,82.7117,82.7117,4.6326,4.6326,4.6326,1,1
78,0.0392,0.0433,4.12686,4.12686,0.95918,0.28776,62.19305,62.19305,62.19305,3.15103,3.15103,3.15103,1,1
79,0.2903,0.3293,4.85793,4.85793,0.62122,0.18637,68.46518,68.46518,68.46518,3.2051,3.2051,3.2051,1,1
80,0.0808,0.1164,4.52487,3.18995,0.77429,0.23229,100.2414,65.47533,50.1207,4.60104,2.30052,3.02424,0.66667,0.66667
81,0.0558,0.0696,4.17933,4.17933,0.97878,0.29363,61.78461,61.78461,61.78461,2.7358,2.7358,2.7358,1,1
82,0.0907,0.1255,3.51507,3.51507,0.25143,0.07543,54.12137,54.12137,54.12137,2.07931,2.07931,2.07931,1,1
83,0,0,2.86189,2.86189,1,0.3,47.53568,47.53568,47.53568,2.02601,2.02601,2.02601,0.2,0.2
84,0.5321,0.5928,4.54889,4.26199,0.62449,0.18735,124.56888,64.61661,62.28444,5.23783,2.61891,2.73303,0.4,1
85,0.0817,0.083,5.90657,4.44825,0.59238,0.17771,189.36711,76.41617,63.12237,8.80342,2.93447,3.60201,0.42857,0.42857
86,0.4985,0.5704,5.806,5.35388,0.66122,0.19837,146.90542,76.95856,73.45271,7.81624,3.90812,4.19596,1,1
87,0.0604,0.0818,4.11927,3.12504,0.76041,0.22812,99.38646,60.46056,49.69323,4.34485,2.17242,2.32652,0.42857,0.42857
88,0.1731,0.2013,7.03339,5.33784,0.57224,0.17167,138.42386,81.81202,69.21193,6.39083,3.19542,3.72854,0.22222,0.33333
89,0.2607,0.3654,7.3722,7.3722,0.99837,0.29951,86.46333,86.46333,86.46333,5.3732,5.3732,5.3732,1,1
90,0.294,0.315,9.14239,9.14239,0.12,0.036,90.38964,90.38964,90.38964,6.38431,6.38431,6.38431,1,1
91,0.147,0.1615,4.57305,2.94009,0.51973,0.15592,141.0838,65.27951,47.02793,5.96837,1.98946,2.7571,0.15,0.375
92,0,0.0002,3.09915,3.09915,0.73633,0.2209,49.51663,49.51663,49.51663,1.9399,1.9399,1.9399,0.2,0.22222
93,0.0939,0.106,6.34211,6.34211,0.63102,0.18931,79.14918,79.14918,79.14918,3.81022,3.81022,3.81022,1,1
94,0,0,5.26838,5.26838,1,0.3,72.37353,72.37353,72.37353,3.58423,3.58423,3.58423,0.33333,0.33333
96,0.0743,0.094,4.32946,4.32946,0.96327,0.28898,63.65413,63.65413,63.65413,2.96979,2.96979,2.96979,0.2,0.25
97,0.0127,0.0423,2.91419,2.43484,0.81837,0.24551,84.17795,48.17097,42.08898,3.81278,1.90639,2.23431,0.25,0.33333
98,0.0276,0.0658,3.78648,3.78648,0.45714,0.13714,57.02953,57.02953,57.02953,2.18521,2.18521,2.18521,1,1
99,0.1406,0.172,4.02162,4.02162,0.78531,0.23559,60.37272,60.37272,60.37272,2.7455,2.7455,2.7455,0.2,0.33333
101,0.1596,0.1603,6.82438,4.48419,0.81927,0.24578,312.76956,81.43796,62.55391,15.2406,3.04812,3.94788,0.55556,0.55556
102,0.0455,0.0455,7.93755,5.13891,0.61088,0.18327,198.03964,82.49034,66.01321,7.86504,2.62168,3.06265,0.375,0.75
103,0.4071,0.4071,6.46999,5.67563,0.44109,0.13233,222.01476,80.44422,74.00492,10.39783,3.46594,4.09051,0.33333,0.33333
104,0.1333,0.1374,3.83525,2.66895,0.74476,0.22343,133.63509,58.37171,44.54503,6.0482,2.01607,2.65007,0.10714,0.17647
105,0.2214,0.261,6.40717,3.1092,0.73612,0.22084,194.00401,81.54863,48.501,10.6902,2.67255,4.86541,0.5,0.8
106,0,0,2.83501,2.20328,0.74816,0.22445,156.68161,46.08687,39.1704,7.04576,1.76144,2.19358,0.36364,0.57143
107,0.0255,0.0796,6.19873,4.23584,0.64463,0.19339,182.36472,77.48006,60.78824,8.73793,2.91264,3.38694,0.42857,0.42857
108,0.4853,0.4929,6.77195,5.53947,0.55864,0.16759,218.11165,82.07505,72.70388,9.61385,3.20462,4.20886,0.75,0.75
109,0.0061,0.0109,5.65527,4.42497,0.58204,0.17461,255.02357,75.35101,63.75589,12.6644,3.1661,3.98095,0.66667,0.66667
110,0.0068,0.0111,3.58606,2.47527,0.61551,0.18465,83.02802,54.84434,41.51401,3.25743,1.62871,2.08707,0.27273,0.6
111,0.6076,0.6407,6.59895,5.0322,0.99714,0.29914,139.0519,83.0924,69.52595,8.31914,4.15957,5.13893,0.33333,0.6
112,0,0,7.6351,4.66712,0.7049,0.21147,252.62106,85.60927,63.15527,13.63279,3.4082,4.80976,0.19048,0.26667
113,0,0,8.07294,5.45228,0.58721,0.17616,208.42388,83.74818,69.47463,9.50385,3.16795,3.97117,0.75,1
114,0.0401,0.0467,3.80808,3.01924,0.95347,0.28604,146.56745,57.73523,48.85582,6.52045,2.17348,2.5944,0.375,0.5
115,0,0,3.93656,3.56461,0.36109,0.10833,164.59471,58.41683,54.8649,6.6904,2.23013,2.45196,0.23077,0.42857
116,0.2584,0.327,4.72742,2.74156,0.92245,0.27673,180.92046,69.8026,45.23011,8.5691,2.14227,4.26859,0.17391,0.28571
117,0.1204,0.1868,6.37759,4.96346,0.64327,0.19298,135.70423,81.79503,67.85212,6.72635,3.36318,4.98213,1,1
118,0.3896,0.397,4.50179,3.3758,0.61932,0.1858,157.26103,66.64864,52.42034,7.55236,2.51745,3.72944,0.16667,0.20833
119,0,0.0007,2.95851,2.95851,0.60653,0.18196,48.05419,48.05419,48.05419,1.9612,1.9612,1.9612,0.42857,0.75
120,0.0051,0.0051,2.6786,2.43633,0.87633,0.2629,84.2728,45.02833,42.1364,3.82723,1.91362,1.97632,0.33333,0.6
121,0.1607,0.1647,3.45201,2.7611,0.49524,0.14857,134.9057,52.5066,44.96857,4.61806,1.53935,1.83733,0.10811,0.33333
122,0.0294,0.0294,8.28221,4.89106,0.66639,0.19992,187.74145,88.13154,62.58048,9.88911,3.29637,5.16314,0.3,1
123,0.2154,0.2285,9.11792,5.50882,0.61878,0.18563,205.68029,89.46734,68.5601,12.39779,4.1326,6.14684,1,1
124,0.1751,0.186,9.56587,4.83017,0.40789,0.12237,173.2076,89.40495,57.73587,9.86592,3.28864,6.32893,0.2,0.25
125,0.0596,0.0645,7.62489,6.37236,0.44735,0.1342,155.78603,84.91295,77.89302,7.68742,3.84371,4.28524,0.6,0.75
126,0,0.0024,4.94612,3.1553,0.77551,0.23265,96.8079,68.62423,48.40395,4.10409,2.05204,2.93373,0.27273,0.6
127,0.2445,0.3756,7.8048,4.71068,0.75592,0.22678,189.70406,87.17941,63.23469,10.37185,3.45728,5.38737,0.75,0.75
128,0.1919,0.2084,8.00332,6.07075,0.62041,0.18612,221.49057,87.17178,73.83019,11.35832,3.78611,5.00584,0.75,1
129,0.0028,0.0095,4.48248,3.06275,0.82429,0.24729,196.84182,65.82136,49.21045,9.61098,2.40274,3.35265,0.11765,0.17391
130,0.2162,0.3425,7.35477,4.82878,0.50286,0.15086,126.83804,87.37128,63.41902,7.24467,3.62234,5.88193,0.27273,0.42857
131,0.0197,0.0235,3.1352,2.62919,0.46558,0.13967,130.40269,49.45204,43.46756,4.6272,1.5424,1.73358,0.375,1
132,0.0578,0.0578,3.2562,2.58539,0.74449,0.22335,132.04001,52.17329,44.01334,6.28765,2.09588,2.88641,0.25,0.25
133,0.0834,0.0897,3.1352,2.27708,0.40844,0.12253,118.23177,49.45204,39.41059,4.56819,1.52273,2.1556,0.41667,1
134,0.0013,0.0084,8.09122,4.91159,0.68082,0.20424,190.91366,86.86856,63.63789,9.12037,3.04012,4.81142,0.12,0.75
135,0.0177,0.0177,5.68822,3.77541,0.75673,0.22702,109.88566,75.47332,54.94283,5.18396,2.59198,3.81843,0.28571,0.33333
136,0,0,2.9705,2.12601,0.86476,0.25943,115.55047,49.22059,38.51682,5.60997,1.86999,2.45481,0.25,0.42857
137,0.2531,0.3056,5.01068,3.15595,0.54776,0.16433,147.37723,68.87285,49.12574,6.24583,2.08194,2.83329,0.25,0.28571
138,0.0608,0.0616,7.61604,4.245,0.59646,0.17894,173.6999,86.89971,57.89997,9.45689,3.1523,5.41352,0.21429,0.27273
139,0.3172,0.3208,4.5731,2.91046,0.61741,0.18522,140.02057,65.04966,46.67352,6.02125,2.00708,2.64817,0.27273,0.375
140,0,0.0064,4.36274,2.49832,0.59776,0.17933,168.44373,63.43612,42.11093,7.42342,1.85586,2.73669,0.08696,0.16
141,0.2062,0.2277,7.35482,4.75068,0.72163,0.21649,195.10555,88.0132,65.03518,10.89385,3.63128,6.41531,0.375,0.375
142,0.4284,0.4296,3.60758,2.08661,0.84925,0.25478,111.23681,56.03032,37.07894,4.60646,1.53549,2.59119,0.15789,0.25
